lh (ft),bh (ft),aoa_trim (deg),aoa_TO/L (deg),T/W_req,SM,X_AC (in),X_CG (in),X_ACH (in),X_ACWF (in)
1.0,2.9346900816394768,3.0,8.477769915094816,0.2459472768621331,0.6269670906153678,14.470333898727244,7.225729166666668,19.225729166666667,6.985
1.0,2.8894504376440144,3.5,8.53550921644582,0.24428111999721422,0.626420068057165,14.464013053067209,7.225729166666667,19.225729166666667,6.985
1.0,2.86177555714163,4.0,8.570832903921527,0.24333942423186333,0.6260861938917793,14.460155137086177,7.225729166666667,19.225729166666667,6.985
1.0,2.8430965222630813,4.5,8.594672394905741,0.24270064290530594,0.6258612014508713,14.457555349431486,7.225729166666667,19.225729166666667,6.985
1.0,2.8296395442642597,5.0,8.611845085440136,0.2422388962077023,0.625699295842091,14.45568453012203,7.225729166666667,19.225729166666667,6.985
1.003,2.926435936496434,3.0,8.488929924095856,0.24567219995360207,0.626910094780006,14.469675311849636,7.225729166666667,19.261729166666665,6.985
1.003,2.881419934077724,3.5,8.546371334398334,0.24405044304150678,0.6263649295353199,14.463375927447288,7.225729166666667,19.261729166666665,6.985
1.003,2.8538796492691265,4.0,8.581513749678336,0.24311109443009996,0.6260321774694628,14.45953097732631,7.2257291666666665,19.261729166666665,6.985
1.003,2.835290518764974,4.5,8.605231319182355,0.2424739306709854,0.6258079362730824,14.456939870302135,7.225729166666667,19.261729166666665,6.985
1.003,2.8218978443275167,5.0,8.622316392122553,0.24201336551001412,0.6256465688121055,14.455075269290546,7.225729166666668,19.261729166666665,6.985
1.006,2.918225847089327,3.0,8.5000273784044,0.24539777681016675,0.6268532459712216,14.469018423864132,7.2257291666666665,19.297729166666667,6.985
1.006,2.873433051831191,3.5,8.557170935806113,0.2438203001819117,0.6263099487734262,14.462740624743606,7.2257291666666665,19.297729166666667,6.985
1.006,2.846027100719446,4.0,8.592132133028256,0.24288333969125048,0.6259783250279422,14.458908712364538,7.225729166666667,19.297729166666667,6.985
1.006,2.827527699137394,4.5,8.615727830834691,0.24224782018943822,0.6257548391265686,14.456326332774168,7.225729166666668,19.297729166666667,6.985
